STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TLG,M,66,MON FLO,19930301 0000,19930331 0000,42065,,AF
TLG,M,66,MON FLO,19930401 0000,19930430 0000,136925,,AF
TLG,M,66,MON FLO,19930501 0000,19930529 0000,160913,,AF
TLG,M,66,MON FLO,19930601 0000,19930628 0000,158360,,AF
TLG,M,66,MON FLO,19930701 0000,19930729 0000,202696,,AF
TLG,M,66,MON FLO,19930801 0000,19930829 0000,57567,,AF
TLG,M,66,MON FLO,19930901 0000,19930928 0000,150361,,AF
TLG,M,66,MON FLO,19931001 0000,19931029 0000,93631,,AF
TLG,M,66,MON FLO,19931101 0000,19931128 0000,24676,,AF
TLG,M,66,MON FLO,19931201 0000,19931229 0000,25315,,AF
TLG,M,66,MON FLO,19940101 0000,19940131 0000,40986,,AF
TLG,M,66,MON FLO,19940201 0000,19940228 0000,26245,,AF
TLG,M,66,MON FLO,19940301 0000,19940331 0000,103097,,AF
TLG,M,66,MON FLO,19940401 0000,19940430 0000,142544,,AF
TLG,M,66,MON FLO,19940501 0000,19940529 0000,148063,,AF
TLG,M,66,MON FLO,19940601 0000,19940628 0000,140105,,AF
TLG,M,66,MON FLO,19940701 0000,19940729 0000,168274,,AF
TLG,M,66,MON FLO,19940801 0000,19940829 0000,55845,,AF
TLG,M,66,MON FLO,19940901 0000,19940928 0000,70040,,AF
TLG,M,66,MON FLO,19941001 0000,19941029 0000,34114,,AF
TLG,M,66,MON FLO,19941101 0000,19941128 0000,16725,,AF
TLG,M,66,MON FLO,19941201 0000,19941229 0000,17522,,AF
TLG,M,66,MON FLO,19950101 0000,19950131 0000,86677,,AF
TLG,M,66,MON FLO,19950201 0000,19950228 0000,263980,,AF
TLG,M,66,MON FLO,19950301 0000,19950331 0000,321087,,AF
TLG,M,66,MON FLO,19950401 0000,19950430 0000,486853,,AF
TLG,M,66,MON FLO,19950501 0000,19950529 0000,573162,,AF
TLG,M,66,MON FLO,19950601 0000,19950628 0000,44934,,AF
TLG,M,66,MON FLO,19950701 0000,19950729 0000,378910,,AF
TLG,M,66,MON FLO,19950801 0000,19950829 0000,220522,,AF
TLG,M,66,MON FLO,19950901 0000,19950928 0000,213626,,AF
TLG,M,66,MON FLO,19951001 0000,19951029 0000,184340,,AF
TLG,M,66,MON FLO,19951101 0000,19951128 0000,27713,,AF
TLG,M,66,MON FLO,19951201 0000,19951229 0000,53048,,AF
TLG,M,66,MON FLO,19960101 0000,19960131 0000,57116,,AF
TLG,M,66,MON FLO,19960201 0000,19960229 0000,294486,,AF
TLG,M,66,MON FLO,19960301 0000,19960331 0000,342712,,AF
TLG,M,66,MON FLO,19960401 0000,19960430 0000,265285,,AF
TLG,M,66,MON FLO,19960501 0000,19960529 0000,352705,,AF
TLG,M,66,MON FLO,19960601 0000,19960628 0000,188846,,AF
TLG,M,66,MON FLO,19960701 0000,19960729 0000,196409,,AF
TLG,M,66,MON FLO,19960801 0000,19960801 0000,171469,,AF
TLG,M,66,MON FLO,19960901 0000,19960901 0000,105007,,AF
TLG,M,66,MON FLO,19961001 0000,19961001 0000,95962,,AF
TLG,M,66,MON FLO,19961101 0000,19961101 0000,22265,,AF
TLG,M,66,MON FLO,19961201 0000,19961201 0000,279314,,AF
TLG,M,66,MON FLO,19970101 0000,19970101 0000,865509,,AF
TLG,M,66,MON FLO,19970201 0000,19970201 0000,488983,,AF
TLG,M,66,MON FLO,19970301 0000,19970301 0000,289129,,AF
TLG,M,66,MON FLO,19970401 0000,19970401 0000,184287,,AF
TLG,M,66,MON FLO,19970501 0000,19970501 0000,231933,,AF
TLG,M,66,MON FLO,19970601 0000,19970601 0000,157995,,AF
TLG,M,66,MON FLO,19970701 0000,19970701 0000,218362,,AF
TLG,M,66,MON FLO,19970801 0000,19970801 0000,176848,,AF
TLG,M,66,MON FLO,19970901 0000,19970901 0000,105713,,AF
TLG,M,66,MON FLO,19971001 0000,19971001 0000,83962,,AF
TLG,M,66,MON FLO,19971101 0000,19971101 0000,30438,,AF
TLG,M,66,MON FLO,19971201 0000,19971201 0000,30071,,AF
TLG,M,66,MON FLO,19980101 0000,19980101 0000,125693,,AF
TLG,M,66,MON FLO,19980201 0000,19980201 0000,351818,,AF
TLG,M,66,MON FLO,19980301 0000,19980301 0000,373002,,AF
TLG,M,66,MON FLO,19980401 0000,19980401 0000,380900,,AF
TLG,M,66,MON FLO,19980501 0000,19980501 0000,296906, ,AF
TLG,M,66,MON FLO,19980601 0000,19980601 0000,385759, ,AF
TLG,M,66,MON FLO,19980701 0000,19980701 0000,348351, ,AF
TLG,M,66,MON FLO,19980801 0000,19980801 0000,90578, ,AF
TLG,M,66,MON FLO,19980901 0000,19980901 0000,176126, ,AF
TLG,M,66,MON FLO,19981001 0000,19981001 0000,101964, ,AF
TLG,M,66,MON FLO,19981101 0000,19981101 0000,23722, ,AF
TLG,M,66,MON FLO,19981201 0000,19981201 0000,81573, ,AF
TLG,M,66,MON FLO,19990101 0000,19990101 0000,103436, ,AF
TLG,M,66,MON FLO,19990201 0000,19990201 0000,287331, ,AF
TLG,M,66,MON FLO,19990301 0000,19990301 0000,261469, ,AF
TLG,M,66,MON FLO,19990401 0000,19990401 0000,244538, ,AF
TLG,M,66,MON FLO,19990501 0000,19990501 0000,233861, ,AF
TLG,M,66,MON FLO,19990601 0000,19990601 0000,160994, ,AF
TLG,M,66,MON FLO,19990701 0000,19990701 0000,193218, ,AF
TLG,M,66,MON FLO,19990801 0000,19990801 0000,193335, ,AF
TLG,M,66,MON FLO,19990901 0000,19990901 0000,112711, ,AF
TLG,M,66,MON FLO,19991001 0000,19991001 0000,83268, ,AF
TLG,M,66,MON FLO,19991101 0000,19991101 0000,34871, ,AF
TLG,M,66,MON FLO,19991201 0000,19991201 0000,22153, ,AF
TLG,M,66,MON FLO,20000101 0000,20000101 0000,33925, ,AF
TLG,M,66,MON FLO,20000201 0000,20000201 0000,133269, ,AF
TLG,M,66,MON FLO,20000301 0000,20000301 0000,169944, ,AF
TLG,M,66,MON FLO,20000401 0000,20000401 0000,204329, ,AF
TLG,M,66,MON FLO,20000501 0000,20000501 0000,196903, ,AF
TLG,M,66,MON FLO,20000601 0000,20000601 0000,178838, ,AF
TLG,M,66,MON FLO,20000701 0000,20000701 0000,215778, ,AF
TLG,M,66,MON FLO,20000801 0000,20000801 0000,215004, ,AF
TLG,M,66,MON FLO,20000901 0000,20000901 0000,124768, ,AF
TLG,M,66,MON FLO,20001001 0000,20001001 0000,78331, ,AF
TLG,M,66,MON FLO,20001101 0000,20001101 0000,25452, ,AF
TLG,M,66,MON FLO,20001201 0000,20001201 0000,---, ,AF
TLG,M,66,MON FLO,20010101 0000,20010101 0000,29837, ,AF
TLG,M,66,MON FLO,20010201 0000,20010201 0000,---, ,AF
TLG,M,66,MON FLO,20010301 0000,20010301 0000,82048, ,AF
TLG,M,66,MON FLO,20010401 0000,20010401 0000,---, ,AF
TLG,M,66,MON FLO,20010501 0000,20010501 0000,---, ,AF
TLG,M,66,MON FLO,20010601 0000,20010601 0000,---, ,AF
TLG,M,66,MON FLO,20010701 0000,20010701 0000,---, ,AF
TLG,M,66,MON FLO,20010801 0000,20010801 0000,---, ,AF
