STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
LGN,D,41,M FLOW,19970530 0000,19970530 0000,199, ,CFS
LGN,D,41,M FLOW,19970531 0000,19970531 0000,293, ,CFS
LGN,D,41,M FLOW,19970601 0000,19970601 0000,160, ,CFS
LGN,D,41,M FLOW,19970602 0000,19970602 0000,154, ,CFS
LGN,D,41,M FLOW,19970603 0000,19970603 0000,157, ,CFS
LGN,D,41,M FLOW,19970604 0000,19970604 0000,174, ,CFS
LGN,D,41,M FLOW,19970605 0000,19970605 0000,145, ,CFS
LGN,D,41,M FLOW,19970606 0000,19970606 0000,213, ,CFS
LGN,D,41,M FLOW,19970607 0000,19970607 0000,267, ,CFS
LGN,D,41,M FLOW,19970608 0000,19970608 0000,274, ,CFS
LGN,D,41,M FLOW,19970609 0000,19970609 0000,258, ,CFS
LGN,D,41,M FLOW,19970610 0000,19970610 0000,265, ,CFS
LGN,D,41,M FLOW,19970611 0000,19970611 0000,265, ,CFS
LGN,D,41,M FLOW,19970612 0000,19970612 0000,281, ,CFS
LGN,D,41,M FLOW,19970613 0000,19970613 0000,270, ,CFS
LGN,D,41,M FLOW,19970614 0000,19970614 0000,291, ,CFS
LGN,D,41,M FLOW,19970615 0000,19970615 0000,282, ,CFS
LGN,D,41,M FLOW,19970616 0000,19970616 0000,290, ,CFS
LGN,D,41,M FLOW,19970617 0000,19970617 0000,328, ,CFS
LGN,D,41,M FLOW,19970618 0000,19970618 0000,304, ,CFS
LGN,D,41,M FLOW,19970619 0000,19970619 0000,299, ,CFS
LGN,D,41,M FLOW,19970620 0000,19970620 0000,299, ,CFS
LGN,D,41,M FLOW,19970621 0000,19970621 0000,295, ,CFS
LGN,D,41,M FLOW,19970622 0000,19970622 0000,300, ,CFS
LGN,D,41,M FLOW,19970623 0000,19970623 0000,291, ,CFS
LGN,D,41,M FLOW,19970624 0000,19970624 0000,303, ,CFS
LGN,D,41,M FLOW,19970625 0000,19970625 0000,295, ,CFS
LGN,D,41,M FLOW,19970626 0000,19970626 0000,302, ,CFS
LGN,D,41,M FLOW,19970627 0000,19970627 0000,298, ,CFS
LGN,D,41,M FLOW,19970628 0000,19970628 0000,301, ,CFS
LGN,D,41,M FLOW,19970629 0000,19970629 0000,288, ,CFS
LGN,D,41,M FLOW,19970630 0000,19970630 0000,292, ,CFS
LGN,D,41,M FLOW,19970701 0000,19970701 0000,291, ,CFS
LGN,D,41,M FLOW,19970702 0000,19970702 0000,284, ,CFS
LGN,D,41,M FLOW,19970703 0000,19970703 0000,285, ,CFS
LGN,D,41,M FLOW,19970704 0000,19970704 0000,286, ,CFS
LGN,D,41,M FLOW,19970705 0000,19970705 0000,298, ,CFS
LGN,D,41,M FLOW,19970706 0000,19970706 0000,290, ,CFS
LGN,D,41,M FLOW,19970707 0000,19970707 0000,296, ,CFS
LGN,D,41,M FLOW,19970708 0000,19970708 0000,285, ,CFS
LGN,D,41,M FLOW,19970709 0000,19970709 0000,287, ,CFS
LGN,D,41,M FLOW,19970710 0000,19970710 0000,292, ,CFS
LGN,D,41,M FLOW,19970711 0000,19970711 0000,292, ,CFS
LGN,D,41,M FLOW,19970712 0000,19970712 0000,284, ,CFS
LGN,D,41,M FLOW,19970713 0000,19970713 0000,283, ,CFS
LGN,D,41,M FLOW,19970714 0000,19970714 0000,291, ,CFS
LGN,D,41,M FLOW,19970715 0000,19970715 0000,284, ,CFS
LGN,D,41,M FLOW,19970716 0000,19970716 0000,288, ,CFS
LGN,D,41,M FLOW,19970717 0000,19970717 0000,295, ,CFS
LGN,D,41,M FLOW,19970718 0000,19970718 0000,284, ,CFS
LGN,D,41,M FLOW,19970719 0000,19970719 0000,279, ,CFS
LGN,D,41,M FLOW,19970720 0000,19970720 0000,284, ,CFS
LGN,D,41,M FLOW,19970721 0000,19970721 0000,291, ,CFS
LGN,D,41,M FLOW,19970722 0000,19970722 0000,294, ,CFS
LGN,D,41,M FLOW,19970723 0000,19970723 0000,285, ,CFS
LGN,D,41,M FLOW,19970724 0000,19970724 0000,294, ,CFS
LGN,D,41,M FLOW,19970725 0000,19970725 0000,286, ,CFS
LGN,D,41,M FLOW,19970726 0000,19970726 0000,301, ,CFS
LGN,D,41,M FLOW,19970727 0000,19970727 0000,289, ,CFS
LGN,D,41,M FLOW,19970728 0000,19970728 0000,293, ,CFS
LGN,D,41,M FLOW,19970729 0000,19970729 0000,310, ,CFS
LGN,D,41,M FLOW,19970730 0000,19970730 0000,280, ,CFS
LGN,D,41,M FLOW,19970731 0000,19970731 0000,284, ,CFS
LGN,D,41,M FLOW,19970801 0000,19970801 0000,288, ,CFS
LGN,D,41,M FLOW,19970802 0000,19970802 0000,294, ,CFS
LGN,D,41,M FLOW,19970803 0000,19970803 0000,283, ,CFS
LGN,D,41,M FLOW,19970804 0000,19970804 0000,295, ,CFS
LGN,D,41,M FLOW,19970805 0000,19970805 0000,287, ,CFS
LGN,D,41,M FLOW,19970806 0000,19970806 0000,289, ,CFS
LGN,D,41,M FLOW,19970807 0000,19970807 0000,287, ,CFS
LGN,D,41,M FLOW,19970808 0000,19970808 0000,301, ,CFS
LGN,D,41,M FLOW,19970809 0000,19970809 0000,286, ,CFS
LGN,D,41,M FLOW,19970810 0000,19970810 0000,288, ,CFS
LGN,D,41,M FLOW,19970811 0000,19970811 0000,286, ,CFS
LGN,D,41,M FLOW,19970812 0000,19970812 0000,286, ,CFS
LGN,D,41,M FLOW,19970813 0000,19970813 0000,285, ,CFS
LGN,D,41,M FLOW,19970814 0000,19970814 0000,284, ,CFS
LGN,D,41,M FLOW,19970815 0000,19970815 0000,284, ,CFS
LGN,D,41,M FLOW,19970816 0000,19970816 0000,284, ,CFS
LGN,D,41,M FLOW,19970817 0000,19970817 0000,284, ,CFS
LGN,D,41,M FLOW,19970818 0000,19970818 0000,286, ,CFS
LGN,D,41,M FLOW,19970819 0000,19970819 0000,285, ,CFS
LGN,D,41,M FLOW,19970820 0000,19970820 0000,284, ,CFS
LGN,D,41,M FLOW,19970821 0000,19970821 0000,278, ,CFS
LGN,D,41,M FLOW,19970822 0000,19970822 0000,274, ,CFS
LGN,D,41,M FLOW,19970823 0000,19970823 0000,269, ,CFS
LGN,D,41,M FLOW,19970824 0000,19970824 0000,290, ,CFS
LGN,D,41,M FLOW,19970825 0000,19970825 0000,281, ,CFS
