STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,,
TLG,M,65,MON FNF,19071001 0000,19071031 0000,18300,,AF,,
TLG,M,65,MON FNF,19071101 0000,19071130 0000,18000,,AF,,
TLG,M,65,MON FNF,19071201 0000,19071231 0000,38000,,AF,,
TLG,M,65,MON FNF,19080101 0000,19080131 0000,58700,,AF,,
TLG,M,65,MON FNF,19080201 0000,19080229 0000,47000,,AF,,
TLG,M,65,MON FNF,19080301 0000,19080331 0000,112000,,AF,,
TLG,M,65,MON FNF,19080401 0000,19080430 0000,207000,,AF,,
TLG,M,65,MON FNF,19080501 0000,19080531 0000,251000,,AF,,
TLG,M,65,MON FNF,19080601 0000,19080630 0000,182000,,AF,,
TLG,M,65,MON FNF,19080701 0000,19080731 0000,62600,,AF,,
TLG,M,65,MON FNF,19080801 0000,19080831 0000,23900,,AF,,
TLG,M,65,MON FNF,19080901 0000,19080930 0000,5060,,AF,,
TLG,M,65,MON FNF,19081001 0000,19081031 0000,13800,,AF,,
TLG,M,65,MON FNF,19081101 0000,19081130 0000,12800,,AF,,
TLG,M,65,MON FNF,19081201 0000,19081231 0000,21100,,AF,,
TLG,M,65,MON FNF,19090101 0000,19090131 0000,405000,,AF,,
TLG,M,65,MON FNF,19090201 0000,19090228 0000,276000,,AF,,
TLG,M,65,MON FNF,19090301 0000,19090331 0000,180000,,AF,,
TLG,M,65,MON FNF,19090401 0000,19090430 0000,340000,,AF,,
TLG,M,65,MON FNF,19090501 0000,19090531 0000,520000,,AF,,
TLG,M,65,MON FNF,19090601 0000,19090630 0000,646000,,AF,,
TLG,M,65,MON FNF,19090701 0000,19090731 0000,212000,,AF,,
TLG,M,65,MON FNF,19090801 0000,19090831 0000,31800,,AF,,
TLG,M,65,MON FNF,19090901 0000,19090930 0000,10900,,AF,,
TLG,M,65,MON FNF,19091001 0000,19091031 0000,28400,,AF,,
TLG,M,65,MON FNF,19091101 0000,19091130 0000,154000,,AF,,
TLG,M,65,MON FNF,19091201 0000,19091231 0000,237000,,AF,,
TLG,M,65,MON FNF,19100101 0000,19100131 0000,197000,,AF,,
TLG,M,65,MON FNF,19100201 0000,19100228 0000,108000,,AF,,
TLG,M,65,MON FNF,19100301 0000,19100331 0000,241000,,AF,,
TLG,M,65,MON FNF,19100401 0000,19100430 0000,419000,,AF,,
TLG,M,65,MON FNF,19100501 0000,19100531 0000,465000,,AF,,
TLG,M,65,MON FNF,19100601 0000,19100630 0000,202000,,AF,,
TLG,M,65,MON FNF,19100701 0000,19100731 0000,51400,,AF,,
TLG,M,65,MON FNF,19100801 0000,19100831 0000,12100,,AF,,
TLG,M,65,MON FNF,19100901 0000,19100930 0000,16800,,AF,,
TLG,M,65,MON FNF,19101001 0000,19101031 0000,16600,,AF,,
TLG,M,65,MON FNF,19101101 0000,19101130 0000,20300,,AF,,
TLG,M,65,MON FNF,19101201 0000,19101231 0000,39800,,AF,,
TLG,M,65,MON FNF,19110101 0000,19110131 0000,373000,,AF,,
TLG,M,65,MON FNF,19110201 0000,19110228 0000,221000,,AF,,
TLG,M,65,MON FNF,19110301 0000,19110331 0000,450000,,AF,,
TLG,M,65,MON FNF,19110401 0000,19110430 0000,438000,,AF,,
TLG,M,65,MON FNF,19110501 0000,19110531 0000,516000,,AF,,
TLG,M,65,MON FNF,19110601 0000,19110630 0000,817000,,AF,,
TLG,M,65,MON FNF,19110701 0000,19110731 0000,451000,,AF,,
TLG,M,65,MON FNF,19110801 0000,19110831 0000,63800,,AF,,
TLG,M,65,MON FNF,19110901 0000,19110930 0000,15600,,AF,,
TLG,M,65,MON FNF,19111001 0000,19111031 0000,9350,,AF,,
TLG,M,65,MON FNF,19111101 0000,19111130 0000,8450,,AF,,
TLG,M,65,MON FNF,19111201 0000,19111231 0000,13900,,AF,,
TLG,M,65,MON FNF,19120101 0000,19120131 0000,27700,,AF,,
TLG,M,65,MON FNF,19120201 0000,19120229 0000,27700,,AF,,
TLG,M,65,MON FNF,19120301 0000,19120331 0000,60600,,AF,,
TLG,M,65,MON FNF,19120401 0000,19120430 0000,101000,,AF,,
TLG,M,65,MON FNF,19120501 0000,19120531 0000,333000,,AF,,
TLG,M,65,MON FNF,19120601 0000,19120630 0000,384000,,AF,,
TLG,M,65,MON FNF,19120701 0000,19120731 0000,65800,,AF,,
TLG,M,65,MON FNF,19120801 0000,19120831 0000,12400,,AF,,
TLG,M,65,MON FNF,19120901 0000,19120930 0000,7080,,AF,,
TLG,M,65,MON FNF,19121001 0000,19121031 0000,3530,,AF,,
TLG,M,65,MON FNF,19121101 0000,19121130 0000,26500,,AF,,
TLG,M,65,MON FNF,19121201 0000,19121231 0000,12600,,AF,,
TLG,M,65,MON FNF,19130101 0000,19130131 0000,22000,,AF,,
TLG,M,65,MON FNF,19130201 0000,19130228 0000,28900,,AF,,
TLG,M,65,MON FNF,19130301 0000,19130331 0000,53300,,AF,,
TLG,M,65,MON FNF,19130401 0000,19130430 0000,173000,,AF,,
TLG,M,65,MON FNF,19130501 0000,19130531 0000,392000,,AF,,
TLG,M,65,MON FNF,19130601 0000,19130630 0000,241000,,AF,,
TLG,M,65,MON FNF,19130701 0000,19130731 0000,72000,,AF,,
TLG,M,65,MON FNF,19130801 0000,19130831 0000,32000,,AF,,
TLG,M,65,MON FNF,19130901 0000,19130930 0000,24500,,AF,,
TLG,M,65,MON FNF,19131001 0000,19131031 0000,3900,,AF,,
TLG,M,65,MON FNF,19131101 0000,19131130 0000,13500,,AF,,
TLG,M,65,MON FNF,19131201 0000,19131231 0000,15300,,AF,,
TLG,M,65,MON FNF,19140101 0000,19140131 0000,416000,,AF,,
TLG,M,65,MON FNF,19140201 0000,19140228 0000,195000,,AF,,
TLG,M,65,MON FNF,19140301 0000,19140331 0000,235000,,AF,,
TLG,M,65,MON FNF,19140401 0000,19140430 0000,313000,,AF,,
TLG,M,65,MON FNF,19140501 0000,19140531 0000,568000,,AF,,
TLG,M,65,MON FNF,19140601 0000,19140630 0000,541000,,AF,,
TLG,M,65,MON FNF,19140701 0000,19140731 0000,259000,,AF,,
